GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID
471,3.1,SWBD,-110.5038535,40.57817957,WGS84,11977043
472,1.6,SWBD,-107.3757046,40.57223493,WGS84,1353068
473,2.6,SWBD,-109.5328955,40.51617074,WGS84,1393741
474,1.2,SWBD,-105.7860219,40.49940907,WGS84,2902871
476,5.9,SWBD,-105.0332397,40.43380316,WGS84,940190086
477,9.6,SWBD,-111.493874,40.44238011,WGS84,10376618
478,1.8,SWBD,-105.0873635,40.41233622,WGS84,13648
479,362.2,SWBD,-111.8245241,40.20957557,WGS84,10329139
480,2.1,SWBD,-105.1269093,40.33769906,WGS84,13716
481,4.2,SWBD,-105.217877,40.33526587,WGS84,13776
482,1.3,SWBD,-110.2259134,40.30140162,WGS84,11983765
483,1.7,SWBD,-109.8838887,40.28626688,WGS84,11986455
484,2.9,SWBD,-106.8551301,40.27819689,WGS84,1357620
485,0.3,SWBD,-116.6963543,40.26580559,WGS84,11210104
486,0.7,SWBD,-105.3762639,40.21808664,WGS84,2889724
487,5.1,SWBD,-105.8427289,40.22722567,WGS84,1234537
488,11.2,SWBD,-110.4643685,40.19166122,WGS84,11967777
489,4.7,SWBD,-109.6819547,40.19253155,WGS84,1373704
490,2.7,SWBD,-105.0390146,40.1821398,WGS84,2888794
491,1.1,SWBD,-105.959434,40.14874292,WGS84,1234569
492,24.7,SWBD,-105.8491599,40.15439473,WGS84,1234573
493,61.1,SWBD,-111.1242352,40.17149732,WGS84,944060036
494,1.5,SWBD,-108.7109131,40.12181848,WGS84,5307966
495,2.9,SWBD,-105.2224965,40.07953165,WGS84,2889776
496,0.7,SWBD,-107.0551034,40.05231016,WGS84,1356520
497,5.3,SWBD,-106.2107443,40.0155202,WGS84,1232999
498,2.2,SWBD,-105.194506,40.02496506,WGS84,2889816
499,0.4,SWBD,-105.4909302,39.96546868,WGS84,2891620
500,1.2,SWBD,-105.3691832,39.94692046,WGS84,2891632
501,1.3,SWBD,-105.2126998,39.94622933,WGS84,2891248
502,6.6,SWBD,-106.2877561,39.87259703,WGS84,1313299
503,6.6,SWBD,-111.8659272,39.85780277,WGS84,946020420
504,4.9,SWBD,-105.1244307,39.86412066,WGS84,228773
505,0.4,SWBD,-105.2464103,39.82834229,WGS84,2885616
506,10,SWBD,-111.1513832,39.7742212,WGS84,3907387
507,1.4,SWBD,-107.7568556,39.63179586,WGS84,3175950
508,2.3,SWBD,-105.0679232,39.62952802,WGS84,188631
509,12.3,SWBD,-106.0588648,39.60147745,WGS84,1313407
510,1,SWBD,-111.2235396,39.61448374,WGS84,4876055
511,5.2,SWBD,-105.0686081,39.54477619,WGS84,188749
512,1.6,SWBD,-118.5026662,39.51593674,WGS84,NA
513,2.7,SWBD,-112.341518,39.46258759,WGS84,1200084
